Study,Experiment,Subject,Group,Age,Sex,Ethnicity,AmericanIndian_AlaskaNative,Asian,NativeHawaiian_PacificIslander,Black_African American,White_Caucasian,MoreThanOneRace,Other,PreferNotToReport
vsgame,exp01,120,Active,19,Female,Not Hispanic or Latino,0,0,0,1,1,0,0,0
vsgame,exp01,121,Active,20,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,122,Active,22,Female,Prefer Not to Report,0,0,0,0,1,0,0,0
vsgame,exp01,123,Active,18,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,124,Active,20,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,125,Active,19,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,126,Active,21,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,127,Active,18,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,128,Active,20,Female,Not Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,129,Active,18,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,130,Active,19,Male,Not Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,131,Active,20,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,132,Active,19,Male,Not Hispanic or Latino,0,0,0,0,0,0,1,0
vsgame,exp01,133,Active,18,Female,Not Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,134,Active,19,Female,Hispanic or Latino,0,0,0,1,1,0,0,0
vsgame,exp01,135,Active,18,Male,Not Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,136,Active,18,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,137,Active,20,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,138,Active,20,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,139,Active,18,Female,Not Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,140,Active,19,Male,Not Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,141,Active,21,Female,Not Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,141,Active,18,Male,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,142,Active,19,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,143,Active,18,Male,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,144,Active,21,Female,Not Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,145,Active,18,Male,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,146,Active,22,Male,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,147,Active,18,Female,Not Hispanic or Latino,0,1,0,0,0,0,0,0
vsgame,exp01,148,Active,20,Male,Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,149,Active,20,Male,Not Hispanic or Latino,0,0,0,0,1,0,0,0
vsgame,exp01,150,Active,21,Male,Not Hispanic or Latino,0,0,0,1,0,0,0,0
