subject,condition,experiment,task,target_hit,target_miss,lure_cr,lure_fa,foil_cr,foil_fa,target_hit_rate,lure_cr_rate,foil_cr_rate,lure_fa_rate,foil_fa_rate,cr,cr_rate,fa,fa_rate,dprime,dprime_lures,LDI,LDI_reviewer,beta,c,ad,foiled_target,foiled_lure
121,Active,exp01,mst,18,3,13,8,24,0,0.72,0.52,1,0.32,0,37,0.755102041,8,0.163265306,2.619675639,1.050540306,0.4,,1.365406244,0.199142244,0.968015109,3,4
120,Active,exp01,mst,19,1,12,9,22,2,0.76,0.48,0.916666667,0.36,0.083333333,34,0.693877551,11,0.224489796,2.08929669,1.064761356,0.44,,1.037881531,0.025407367,0.930209864,1,4
122,Active,exp01,mst,13,9,2,14,23,1,0.52,0.08,0.958333333,0.56,0.041666667,25,0.510204082,15,0.306122449,1.78181798,-0.100815632,-0.28,,1.135646088,0.22835902,0.896153698,9,9
123,Active,exp01,mst,12,4,14,9,19,5,0.48,0.56,0.791666667,0.36,0.208333333,33,0.673469388,14,0.285714286,0.762064218,0.30830521,0.4,,1.172210572,0.308051203,0.705008538,4,2
124,Active,exp01,mst,6,3,14,9,21,3,0.24,0.56,0.875,0.36,0.125,35,0.714285714,12,0.244897959,0.444046818,-0.34784377,0.44,,0.989115301,0.698468008,0.623235119,3,2
125,Active,exp01,mst,24,1,6,15,24,0,0.96,0.24,1,0.6,0,30,0.612244898,15,0.306122449,3.787520203,1.497338968,0.2,,0.245614649,-0.621907224,0.996298842,1,4
126,Active,exp01,mst,18,6,4,13,24,0,0.72,0.16,1,0.52,0,28,0.571428571,13,0.265306122,2.619675639,0.532687924,-0.08,,1.027118531,0.02211509,0.968015109,6,8
127,Active,exp01,mst,6,1,18,1,24,0,0.24,0.72,1,0.04,0,42,0.857142857,1,0.020408163,1.330531569,1.044383508,0.68,,6.311544997,1.375846776,0.826603468,1,6
129,Active,exp01,mst,17,1,18,6,24,0,0.68,0.72,1,0.24,0,42,0.857142857,6,0.12244898,2.504532931,1.174001362,0.68,,1.76247174,0.347566246,0.961717339,1,1
130,Active,exp01,mst,20,5,4,15,24,0,0.8,0.16,1,0.6,0,28,0.571428571,15,0.306122449,2.878455365,0.58827413,-0.04,,0.797954477,-0.167374806,0.979093438,5,6
220,Passive,exp01,mst,4,13,11,1,24,0,0.16,0.44,1,0.04,0,35,0.714285714,1,0.020408163,1.042376248,0.756228188,-0.08,,4.939869481,1.519924437,0.769460509,13,13
221,Passive,exp01,mst,19,1,10,12,24,0,0.76,0.4,1,0.48,0,34,0.693877551,12,0.244897959,2.743136695,0.756456146,0.36,,0.989115301,-0.007834554,0.973791346,1,3
222,Passive,exp01,mst,15,4,7,8,13,11,0.6,0.28,0.541666667,0.32,0.458333333,20,0.408163265,19,0.387755102,0.357980559,0.721045902,0.12,,1.008606791,0.015913863,0.599916307,4,10
223,Passive,exp01,mst,16,8,16,5,24,0,0.64,0.64,1,0.2,0,40,0.816326531,5,0.102040816,2.395292925,1.200080027,0.32,,2.100581758,0.455774811,0.954841497,8,4
226,Passive,exp01,mst,9,2,16,4,23,1,0.36,0.64,0.958333333,0.16,0.041666667,39,0.795918367,5,0.102040816,1.373205603,0.63599909,0.56,,2.100581758,0.814233604,0.834226606,2,5
227,Passive,exp01,mst,20,1,15,8,23,1,0.8,0.6,0.958333333,0.32,0.041666667,38,0.775510204,9,0.183673469,2.57328563,1.309320033,0.56,,1.053530156,0.029916423,0.965589093,1,2
137,Active,exp01,mst,15,3,10,8,23,1,0.6,0.4,0.958333333,0.32,0.041666667,33,0.673469388,9,0.183673469,1.985011499,0.721045902,0.28,,1.453853113,0.324053488,0.919783251,3,7
138,Active,exp01,mst,18,7,7,5,24,0,0.72,0.28,1,0.2,0,31,0.632653061,5,0.102040816,2.619675639,1.424462741,0,,1.890060002,0.343583454,0.968015109,7,13
139,Active,exp01,mst,20,4,4,18,23,1,0.8,0.16,0.958333333,0.72,0.041666667,27,0.551020408,19,0.387755102,2.57328563,0.258779726,0,,0.730883788,-0.278223203,0.965589093,4,3
140,Active,exp01,mst,17,3,9,13,23,1,0.68,0.36,0.958333333,0.52,0.041666667,32,0.653061224,14,0.285714286,2.199363195,0.417545216,0.24,,1.052089252,0.049125011,0.940048948,3,3
134,Active,exp01,mst,22,1,12,11,23,1,0.88,0.48,0.958333333,0.44,0.041666667,35,0.714285714,12,0.244897959,2.906651188,1.325956008,0.44,,0.636475281,-0.242176669,0.980075597,1,2
