subject,condition,experiment,task,item_category,item,response_x,response_y,correct_response_x,correct_response_y,distance
121,Active,exp01,spatial_placement,target,alarmclock,345,364,119,361,226.01991062736045
121,Active,exp01,spatial_placement,target,applecore,354,355,392,350,38.3275357934736
121,Active,exp01,spatial_placement,lure,bikepump,186,310,439,350,256.14253844295365
121,Active,exp01,spatial_placement,target,binoculars,134,338,270,339,136.0036764208968
121,Active,exp01,spatial_placement,lure,blender,258,135,333,170,82.76472678623425
121,Active,exp01,spatial_placement,target,broom,193,320,219,186,136.49908424601244
121,Active,exp01,spatial_placement,target,cactus,289,362,167,189,211.69081227110448
121,Active,exp01,spatial_placement,target,camcorder,398,359,272,363,126.0634760745554
121,Active,exp01,spatial_placement,lure,cereal,160,269,348,349,204.31348462595415
121,Active,exp01,spatial_placement,target,dogbowl,406,376,246,210,230.5558500667463
121,Active,exp01,spatial_placement,target,feather,195,361,178,288,74.95331880577403
121,Active,exp01,spatial_placement,target,fishbowl,190,148,129,290,154.5477272560163
121,Active,exp01,spatial_placement,lure,frame,316,259,314,343,84.02380615040002
121,Active,exp01,spatial_placement,target,gavel,417,359,318,328,103.74005976477939
121,Active,exp01,spatial_placement,target,gramophone,415,253,436,237,26.40075756488817
121,Active,exp01,spatial_placement,lure,gumballmachine,450,270,500,190,94.33981132056604
121,Active,exp01,spatial_placement,lure,hairclip,149,171,390,170,241.0020746798666
121,Active,exp01,spatial_placement,lure,hanger,379,353,164,360,215.11392330576837
121,Active,exp01,spatial_placement,lure,iron,379,274,285,222,107.42439201596628
121,Active,exp01,spatial_placement,target,jug,293,152,423,354,240.21656895393374
121,Active,exp01,spatial_placement,lure,ladle,404,314,333,294,73.76313442364011
121,Active,exp01,spatial_placement,lure,landline,294,397,145,410,149.56603892595405
121,Active,exp01,spatial_placement,target,mailbox,169,229,477,199,309.45758998609165
121,Active,exp01,spatial_placement,target,microscope,422,319,489,358,77.52418977325722
121,Active,exp01,spatial_placement,lure,milkshake,345,317,210,220,166.23477373883
121,Active,exp01,spatial_placement,lure,mortarpestle,192,183,280,367,203.9607805437114
121,Active,exp01,spatial_placement,target,paperairplane,164,340,385,345,221.05655384991417
121,Active,exp01,spatial_placement,lure,pear,417,190,145,369,325.61480310329875
121,Active,exp01,spatial_placement,lure,pen,290,265,185,337,127.31457104353767
121,Active,exp01,spatial_placement,target,piggybank,154,194,330,202,176.1817243643619
121,Active,exp01,spatial_placement,target,pretzel,432,287,281,193,177.867928531256
121,Active,exp01,spatial_placement,target,purse,145,330,299,319,154.39235732380018
121,Active,exp01,spatial_placement,lure,racquet,409,259,510,275,102.25947388873072
121,Active,exp01,spatial_placement,target,remote,125,301,371,199,266.30809225406574
121,Active,exp01,spatial_placement,target,rubikscube,371,346,450,267,111.72287142747452
121,Active,exp01,spatial_placement,lure,seashell,203,205,201,358,153.0130713370593
121,Active,exp01,spatial_placement,target,skates,414,359,178,237,265.6689669494727
121,Active,exp01,spatial_placement,lure,starfish,202,150,237,201,61.85466837676846
121,Active,exp01,spatial_placement,target,straightener,237,370,459,233,260.8696992753279
121,Active,exp01,spatial_placement,lure,tapemeasure,302,363,189,230,174.52220489095365
121,Active,exp01,spatial_placement,lure,toiletpaper,162,223,422,366,296.73051747334654
121,Active,exp01,spatial_placement,lure,trumpet,401,64,133,232,316.30365157550744
121,Active,exp01,spatial_placement,lure,wateringcan,131,281,207,235,88.83692925805124
120,Active,exp01,spatial_placement,target,alarmclock,200,286,119,361,110.39021695784459
120,Active,exp01,spatial_placement,target,applecore,257,417,392,350,150.71164520368026
120,Active,exp01,spatial_placement,lure,bikepump,440,263,439,350,87.00574693662483
120,Active,exp01,spatial_placement,target,binoculars,194,264,270,339,106.77546534667971
120,Active,exp01,spatial_placement,lure,bowlingball,164,260,466,175,313.73396373360663
120,Active,exp01,spatial_placement,target,broom,242,199,219,186,26.419689627245813
120,Active,exp01,spatial_placement,target,cactus,110,201,167,189,58.249463516842795
120,Active,exp01,spatial_placement,target,camcorder,257,318,272,363,47.43416490252569
120,Active,exp01,spatial_placement,lure,cereal,303,459,348,349,118.84864324004712
120,Active,exp01,spatial_placement,target,dogbowl,266,226,246,210,25.612496949731394
120,Active,exp01,spatial_placement,lure,doghouse,122,235,215,277,102.04410811016969
120,Active,exp01,spatial_placement,target,donut,187,336,186,309,27.018512172212592
120,Active,exp01,spatial_placement,target,feather,156,196,178,288,94.59386872308374
120,Active,exp01,spatial_placement,target,fishbowl,147,272,129,290,25.45584412271571
120,Active,exp01,spatial_placement,lure,frame,402,361,314,343,89.82204629154248
120,Active,exp01,spatial_placement,target,gavel,422,293,318,328,109.73149046650191
120,Active,exp01,spatial_placement,target,gramophone,443,178,436,237,59.413803110051795
120,Active,exp01,spatial_placement,lure,gumballmachine,505,105,500,190,85.14693182963201
120,Active,exp01,spatial_placement,lure,hairclip,329,143,390,170,66.70832032063167
120,Active,exp01,spatial_placement,lure,hanger,436,407,164,360,276.0307953834137
120,Active,exp01,spatial_placement,lure,iron,384,369,285,222,177.22866585290316
120,Active,exp01,spatial_placement,target,jug,385,341,423,354,40.162171256046406
120,Active,exp01,spatial_placement,lure,ladle,357,285,333,294,25.632011235952593
120,Active,exp01,spatial_placement,lure,landline,391,339,145,410,256.04101233982027
120,Active,exp01,spatial_placement,target,mailbox,414,151,477,199,79.20227269466452
120,Active,exp01,spatial_placement,target,microscope,445,319,489,358,58.7962583843564
120,Active,exp01,spatial_placement,lure,milkshake,134,255,210,220,83.6719785830358
120,Active,exp01,spatial_placement,target,paperairplane,382,316,385,345,29.154759474226502
120,Active,exp01,spatial_placement,lure,pen,358,296,185,337,177.79201331893398
120,Active,exp01,spatial_placement,target,piggybank,478,229,330,202,150.44268011438774
120,Active,exp01,spatial_placement,target,pretzel,449,234,281,193,172.93062192682936
120,Active,exp01,spatial_placement,target,purse,296,349,299,319,30.14962686336267
120,Active,exp01,spatial_placement,lure,racquet,453,206,510,275,89.49860334105779
120,Active,exp01,spatial_placement,target,remote,457,302,371,199,134.18271125595876
120,Active,exp01,spatial_placement,target,rubikscube,392,357,450,267,107.07007051459338
120,Active,exp01,spatial_placement,lure,seashell,238,225,201,358,138.0507153186828
120,Active,exp01,spatial_placement,target,skates,350,321,178,237,191.41577782408638
120,Active,exp01,spatial_placement,target,soccerball,411,451,90,270,368.51322907054504
120,Active,exp01,spatial_placement,lure,starfish,423,349,237,201,237.69728648009425
120,Active,exp01,spatial_placement,target,straightener,429,213,459,233,36.05551275463989
120,Active,exp01,spatial_placement,lure,tapemeasure,389,231,189,230,200.0024999843752
120,Active,exp01,spatial_placement,lure,toiletpaper,82,295,422,366,347.33413307649454
120,Active,exp01,spatial_placement,lure,trumpet,485,136,133,232,364.85613603172413
120,Active,exp01,spatial_placement,lure,walkietalkie,116,339,393,246,292.1951402744406
120,Active,exp01,spatial_placement,lure,wateringcan,211,213,207,235,22.360679774997898
122,Active,exp01,spatial_placement,target,alarmclock,456,312,119,361,340.5436829541843
122,Active,exp01,spatial_placement,target,applecore,439,418,392,350,82.66196223173026
122,Active,exp01,spatial_placement,lure,bikepump,124,357,439,350,315.07776817795315
122,Active,exp01,spatial_placement,target,binoculars,423,347,270,339,153.20900756809309
