subject,experiment,task,condition,mean_rating,n_ratings
2,exp02,attention,Active,1.666666667,3
2,exp02,attention,Passive,6,3
5,exp02,attention,Active,0,2
5,exp02,attention,Passive,3.333333333,3
6,exp02,attention,Active,1.333333333,3
6,exp02,attention,Passive,5,3
7,exp02,attention,Active,1,3
7,exp02,attention,Passive,1,3
8,exp02,attention,Active,0.666666667,3
8,exp02,attention,Passive,3.333333333,3
9,exp02,attention,Active,2.333333333,3
9,exp02,attention,Passive,6,3
13,exp02,attention,Active,0.333333333,3
13,exp02,attention,Passive,2.666666667,3
14,exp02,attention,Active,2.333333333,3
14,exp02,attention,Passive,3.666666667,3
18,exp02,attention,Active,1.333333333,3
18,exp02,attention,Passive,2.666666667,3
19,exp02,attention,Active,1,3
19,exp02,attention,Passive,3,3
20,exp02,attention,Active,2.333333333,3
20,exp02,attention,Passive,2,3
25,exp02,attention,Active,0,3
25,exp02,attention,Passive,0.333333333,3
28,exp02,attention,Active,0.333333333,3
28,exp02,attention,Passive,1,3
41,exp02,attention,Active,0.666666667,3
41,exp02,attention,Passive,1,3
42,exp02,attention,Active,1,3
42,exp02,attention,Passive,5,3
43,exp02,attention,Active,1.333333333,3
43,exp02,attention,Passive,3.666666667,3
45,exp02,attention,Active,0.333333333,3
45,exp02,attention,Passive,1,3
60,exp02,attention,Active,0,3
60,exp02,attention,Passive,0,3
65,exp02,attention,Active,0,3
65,exp02,attention,Passive,2.666666667,3
68,exp02,attention,Active,3,3
68,exp02,attention,Passive,3,3
70,exp02,attention,Active,1,3
70,exp02,attention,Passive,3.666666667,3
74,exp02,attention,Active,0,3
74,exp02,attention,Passive,3,3
76,exp02,attention,Active,1.333333333,3
76,exp02,attention,Passive,4.333333333,3
92,exp02,attention,Active,1.333333333,3
92,exp02,attention,Passive,3,3
103,exp02,attention,Active,2.666666667,3
103,exp02,attention,Passive,2.666666667,3
109,exp02,attention,Active,2,3
109,exp02,attention,Passive,4,3
113,exp02,attention,Active,3,3
113,exp02,attention,Passive,4.333333333,3
116,exp02,attention,Active,0,3
116,exp02,attention,Passive,0,3
126,exp02,attention,Active,1.333333333,3
126,exp02,attention,Passive,5.666666667,3
128,exp02,attention,Active,0,3
128,exp02,attention,Passive,1.666666667,3
131,exp02,attention,Active,0,3
131,exp02,attention,Passive,0,3
