Study,Experiment,Subject,Age,Sex,Ethnicity,Race
vsgame,exp02,2,31,Male,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,5,32,Male,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,6,27,Female,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,7,22,Female,Not Hispanic or Latino,Black or African American
vsgame,exp02,8,24,Female,Not Hispanic or Latino,Black or African American
vsgame,exp02,9,27,Male,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,13,34,Male,Hispanic or Latino,White or Caucasian
vsgame,exp02,14,32,Prefer Not to Report,Not Hispanic or Latino,Prefer not to Report
vsgame,exp02,18,26,Female,Not Hispanic or Latino,Asian
vsgame,exp02,19,27,Female,Not Hispanic or Latino,Black or African American
vsgame,exp02,20,28,Female,Hispanic or Latino,White or Caucasian
vsgame,exp02,25,34,Male,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,28,31,Male,Not Hispanic or Latino,Asian; White or Caucasian
vsgame,exp02,41,25,Female,Not Hispanic or Latino,Asian
vsgame,exp02,42,32,Female,Not Hispanic or Latino,Asian
vsgame,exp02,43,20,Female,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,45,30,Male,Not Hispanic or Latino,Black or African American
vsgame,exp02,60,31,Female,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,65,21,Male,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,68,33,Female,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,70,20,Female,Hispanic or Latino,White or Caucasian
vsgame,exp02,74,25,Female,Hispanic or Latino,Other
vsgame,exp02,76,27,Female,Not Hispanic or Latino,American Indian or Alaska Native; White or Caucasian
vsgame,exp02,92,31,Female,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,103,24,Female,Hispanic or Latino,White or Caucasian
vsgame,exp02,109,34,Male,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,113,34,Male,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,116,23,Male,Not Hispanic or Latino,Other
vsgame,exp02,126,22,Male,Not Hispanic or Latino,Asian
vsgame,exp02,128,30,Male,Not Hispanic or Latino,White or Caucasian
vsgame,exp02,131,30,Female,Not Hispanic or Latino,Black or African American
