subject,experiment,task,condition,target_hit,target_miss,lure_cr,lure_fa,foil_cr,foil_fa,target_hit_rate,lure_cr_rate,foil_cr_rate,lure_fa_rate,foil_fa_rate,cr,cr_rate,fa,fa_rate,dprime,dprime_lures,LDI,beta,c,ad,foiled_target,foiled_lure
2,exp02,mst,Active,2,1,6,2,7,2,0.222222222,0.666666667,0.777777778,0.222222222,0.222222222,13,0.722222222,4,0.222222222,0,0,0.555555556,1,0.764709674,0.5,1,1
2,exp02,mst,Passive,0,9,0,0,9,0,0,0,1,0,0,9,0.5,0,0,0,0,-1,inf,inf,0.5,9,9
5,exp02,mst,Active,1,3,5,3,8,1,0.111111111,0.555555556,0.888888889,0.333333333,0.111111111,13,0.722222222,4,0.222222222,0,-0.78991305,0.222222222,0.635978203,0.992675011,0.5,3,1
5,exp02,mst,Passive,6,1,5,0,8,1,0.666666667,0.555555556,0.888888889,0,0.111111111,13,0.722222222,1,0.055555556,1.651367648,2.023946117,0.444444444,3.242712263,0.581245759,0.878534742,1,4
6,exp02,mst,Active,3,0,2,4,8,1,0.333333333,0.222222222,0.888888889,0.444444444,0.111111111,10,0.555555556,5,0.277777778,0.78991305,-0.291017,0.222222222,1.0843341,0.510091549,0.711766545,0,3
6,exp02,mst,Passive,5,4,5,3,6,3,0.555555556,0.555555556,0.666666667,0.333333333,0.333333333,11,0.611111111,6,0.333333333,0.570437598,0.570437598,0.111111111,1.086545633,0.1455085,0.656658404,4,1
7,exp02,mst,Active,6,2,0,3,7,2,0.666666667,0,0.777777778,0.333333333,0.222222222,7,0.388888889,5,0.277777778,1.195436973,0.861454599,-0.222222222,1.0843341,0.079364249,0.801028763,2,6
7,exp02,mst,Passive,3,5,2,0,7,2,0.333333333,0.222222222,0.777777778,0,0.222222222,9,0.5,2,0.111111111,0.333982374,1.162491519,-0.333333333,1.919795034,0.825683824,0.593346208,5,7
8,exp02,mst,Active,7,0,1,7,7,2,0.777777778,0.111111111,0.777777778,0.777777778,0.222222222,8,0.444444444,9,0.5,1.529419348,0,0.111111111,0.746477023,-0.382354837,0.860254348,0,1
8,exp02,mst,Passive,3,6,2,2,9,0,0.333333333,0.222222222,1,0.222222222,0,11,0.611111111,2,0.111111111,1.162491519,0.333982374,-0.444444444,1.919795034,0.825683824,0.794463155,6,5
9,exp02,mst,Active,7,1,2,5,7,2,0.777777778,0.222222222,0.777777778,0.555555556,0.222222222,9,0.5,7,0.388888889,1.529419348,0.624999375,0.111111111,0.776803803,-0.241246763,0.860254348,1,2
9,exp02,mst,Passive,5,2,1,5,6,3,0.555555556,0.111111111,0.666666667,0.555555556,0.333333333,7,0.388888889,8,0.444444444,0.570437598,0,-0.111111111,1,0,0.656658404,2,3
13,exp02,mst,Active,9,0,2,7,2,7,1,0.222222222,0.222222222,0.777777778,0.777777778,4,0.222222222,14,0.777777778,0.828509144,0.828509144,0.222222222,0.376520547,-1.178964246,0.72100997,0,0
13,exp02,mst,Passive,3,0,4,1,2,7,0.333333333,0.444444444,0.222222222,0.111111111,0.777777778,6,0.333333333,8,0.444444444,-1.195436973,0.78991305,0.444444444,0.920347908,0.285218799,0.198971237,0,4
14,exp02,mst,Active,6,0,6,3,7,2,0.666666667,0.666666667,0.777777778,0.333333333,0.222222222,13,0.722222222,5,0.277777778,1.195436973,0.861454599,0.666666667,1.0843341,0.079364249,0.801028763,0,0
14,exp02,mst,Passive,8,0,5,4,7,2,0.888888889,0.555555556,0.777777778,0.444444444,0.222222222,12,0.666666667,6,0.333333333,1.985350023,1.360350648,0.555555556,0.52088894,-0.394956525,0.919818904,0,0
18,exp02,mst,Active,9,0,1,7,8,1,1,0.111111111,0.888888889,0.777777778,0.111111111,9,0.5,8,0.444444444,2.813859167,0.828509144,0.111111111,0.283820405,-0.72675426,0.976687943,0,1
18,exp02,mst,Passive,5,3,2,3,6,3,0.555555556,0.222222222,0.666666667,0.333333333,0.333333333,8,0.444444444,6,0.333333333,0.570437598,0.570437598,-0.111111111,1.086545633,0.1455085,0.656658404,3,4
19,exp02,mst,Active,3,4,2,1,8,1,0.333333333,0.222222222,0.888888889,0.111111111,0.111111111,10,0.555555556,2,0.111111111,0.78991305,0.78991305,-0.222222222,1.919795034,0.825683824,0.711766545,4,6
19,exp02,mst,Passive,0,8,2,0,9,0,0,0.222222222,1,0,0,11,0.611111111,0,0,0,0,-0.666666667,inf,inf,0.5,8,7
