subject,task,experiment,condition,correct
2,spatial_placement,exp02,Active,0.277777778
2,spatial_placement,exp02,Passive,0.277777778
5,spatial_placement,exp02,Active,0.222222222
5,spatial_placement,exp02,Passive,0.333333333
6,spatial_placement,exp02,Active,0.5
6,spatial_placement,exp02,Passive,0.388888889
7,spatial_placement,exp02,Active,0.777777778
7,spatial_placement,exp02,Passive,0.277777778
8,spatial_placement,exp02,Active,0.5
8,spatial_placement,exp02,Passive,0.555555556
9,spatial_placement,exp02,Active,0.722222222
9,spatial_placement,exp02,Passive,0.5
13,spatial_placement,exp02,Active,0.444444444
13,spatial_placement,exp02,Passive,0.388888889
14,spatial_placement,exp02,Active,0.888888889
14,spatial_placement,exp02,Passive,0.833333333
18,spatial_placement,exp02,Active,0.888888889
18,spatial_placement,exp02,Passive,0.388888889
19,spatial_placement,exp02,Active,0.777777778
19,spatial_placement,exp02,Passive,0.333333333
20,spatial_placement,exp02,Active,0.888888889
20,spatial_placement,exp02,Passive,0.388888889
25,spatial_placement,exp02,Active,0.777777778
25,spatial_placement,exp02,Passive,0.277777778
28,spatial_placement,exp02,Active,0.222222222
28,spatial_placement,exp02,Passive,0.444444444
41,spatial_placement,exp02,Active,0.277777778
41,spatial_placement,exp02,Passive,0.388888889
42,spatial_placement,exp02,Active,0.666666667
42,spatial_placement,exp02,Passive,0.666666667
43,spatial_placement,exp02,Active,0.722222222
43,spatial_placement,exp02,Passive,0.333333333
45,spatial_placement,exp02,Active,0.222222222
45,spatial_placement,exp02,Passive,0.055555556
60,spatial_placement,exp02,Active,0.444444444
60,spatial_placement,exp02,Passive,0.222222222
65,spatial_placement,exp02,Active,0.944444444
65,spatial_placement,exp02,Passive,0.444444444
68,spatial_placement,exp02,Active,0.277777778
68,spatial_placement,exp02,Passive,0.333333333
70,spatial_placement,exp02,Active,0.833333333
70,spatial_placement,exp02,Passive,0.388888889
74,spatial_placement,exp02,Active,0.722222222
74,spatial_placement,exp02,Passive,0.166666667
76,spatial_placement,exp02,Active,0.611111111
76,spatial_placement,exp02,Passive,0.222222222
92,spatial_placement,exp02,Active,0.555555556
92,spatial_placement,exp02,Passive,0.333333333
103,spatial_placement,exp02,Active,0.388888889
103,spatial_placement,exp02,Passive,0.444444444
109,spatial_placement,exp02,Active,0.555555556
109,spatial_placement,exp02,Passive,0.277777778
113,spatial_placement,exp02,Active,0.388888889
113,spatial_placement,exp02,Passive,0.444444444
116,spatial_placement,exp02,Active,0.555555556
116,spatial_placement,exp02,Passive,0.388888889
126,spatial_placement,exp02,Active,0.722222222
126,spatial_placement,exp02,Passive,0.166666667
128,spatial_placement,exp02,Active,0.555555556
128,spatial_placement,exp02,Passive,0.666666667
131,spatial_placement,exp02,Active,0.333333333
131,spatial_placement,exp02,Passive,0.166666667
