subject,condition,experiment,task,question,response
2,Active,exp02,posttask_survey,memory,5
2,Passive,exp02,posttask_survey,memory,6
2,Active,exp02,posttask_survey,control,0
2,Passive,exp02,posttask_survey,control,6
5,Active,exp02,posttask_survey,memory,1
5,Passive,exp02,posttask_survey,memory,4
5,Active,exp02,posttask_survey,control,0
5,Passive,exp02,posttask_survey,control,6
6,Active,exp02,posttask_survey,memory,2
6,Passive,exp02,posttask_survey,memory,4
6,Active,exp02,posttask_survey,control,2
6,Passive,exp02,posttask_survey,control,4
7,Active,exp02,posttask_survey,memory,1
7,Passive,exp02,posttask_survey,memory,5
7,Active,exp02,posttask_survey,control,1
7,Passive,exp02,posttask_survey,control,2
8,Active,exp02,posttask_survey,memory,0
8,Passive,exp02,posttask_survey,memory,4
8,Active,exp02,posttask_survey,control,2
8,Passive,exp02,posttask_survey,control,6
9,Active,exp02,posttask_survey,memory,1
9,Passive,exp02,posttask_survey,memory,6
9,Active,exp02,posttask_survey,control,0
9,Passive,exp02,posttask_survey,control,6
13,Active,exp02,posttask_survey,memory,2
13,Passive,exp02,posttask_survey,memory,4
13,Active,exp02,posttask_survey,control,4
13,Passive,exp02,posttask_survey,control,5
14,Active,exp02,posttask_survey,memory,2
14,Passive,exp02,posttask_survey,memory,4
14,Active,exp02,posttask_survey,control,1
14,Passive,exp02,posttask_survey,control,6
18,Active,exp02,posttask_survey,memory,2
18,Passive,exp02,posttask_survey,memory,5
18,Active,exp02,posttask_survey,control,4
18,Passive,exp02,posttask_survey,control,5
19,Active,exp02,posttask_survey,memory,3
19,Passive,exp02,posttask_survey,memory,5
19,Active,exp02,posttask_survey,control,5
19,Passive,exp02,posttask_survey,control,2
20,Active,exp02,posttask_survey,memory,4
20,Passive,exp02,posttask_survey,memory,4
20,Active,exp02,posttask_survey,control,1
20,Passive,exp02,posttask_survey,control,1
25,Active,exp02,posttask_survey,memory,4
25,Passive,exp02,posttask_survey,memory,4
25,Active,exp02,posttask_survey,control,0
25,Passive,exp02,posttask_survey,control,3
28,Active,exp02,posttask_survey,memory,4
28,Passive,exp02,posttask_survey,memory,5
28,Active,exp02,posttask_survey,control,1
28,Passive,exp02,posttask_survey,control,6
41,Active,exp02,posttask_survey,memory,3
41,Passive,exp02,posttask_survey,memory,5
41,Active,exp02,posttask_survey,control,3
41,Passive,exp02,posttask_survey,control,5
42,Active,exp02,posttask_survey,memory,1
42,Passive,exp02,posttask_survey,memory,6
42,Active,exp02,posttask_survey,control,3
42,Passive,exp02,posttask_survey,control,6
43,Active,exp02,posttask_survey,memory,1
43,Passive,exp02,posttask_survey,memory,5
43,Active,exp02,posttask_survey,control,0
43,Passive,exp02,posttask_survey,control,6
45,Active,exp02,posttask_survey,memory,3
45,Passive,exp02,posttask_survey,memory,2
45,Active,exp02,posttask_survey,control,3
45,Passive,exp02,posttask_survey,control,6
60,Active,exp02,posttask_survey,memory,0
60,Passive,exp02,posttask_survey,memory,0
60,Active,exp02,posttask_survey,control,0
60,Passive,exp02,posttask_survey,control,0
65,Active,exp02,posttask_survey,memory,2
65,Passive,exp02,posttask_survey,memory,4
65,Active,exp02,posttask_survey,control,0
65,Passive,exp02,posttask_survey,control,6
68,Active,exp02,posttask_survey,memory,3
68,Passive,exp02,posttask_survey,memory,3
68,Active,exp02,posttask_survey,control,3
68,Passive,exp02,posttask_survey,control,3
70,Active,exp02,posttask_survey,memory,4
70,Passive,exp02,posttask_survey,memory,5
70,Active,exp02,posttask_survey,control,2
70,Passive,exp02,posttask_survey,control,6
74,Active,exp02,posttask_survey,memory,5
74,Passive,exp02,posttask_survey,memory,3
74,Active,exp02,posttask_survey,control,4
74,Passive,exp02,posttask_survey,control,6
76,Active,exp02,posttask_survey,memory,1
76,Passive,exp02,posttask_survey,memory,4
76,Active,exp02,posttask_survey,control,0
76,Passive,exp02,posttask_survey,control,3
92,Active,exp02,posttask_survey,memory,2
92,Passive,exp02,posttask_survey,memory,2
92,Active,exp02,posttask_survey,control,4
92,Passive,exp02,posttask_survey,control,6
103,Active,exp02,posttask_survey,memory,5
103,Passive,exp02,posttask_survey,memory,5
103,Active,exp02,posttask_survey,control,5
103,Passive,exp02,posttask_survey,control,3
109,Active,exp02,posttask_survey,memory,1
109,Passive,exp02,posttask_survey,memory,4
109,Active,exp02,posttask_survey,control,0
109,Passive,exp02,posttask_survey,control,6
113,Active,exp02,posttask_survey,memory,5
113,Passive,exp02,posttask_survey,memory,5
113,Active,exp02,posttask_survey,control,5
113,Passive,exp02,posttask_survey,control,5
116,Active,exp02,posttask_survey,memory,5
116,Passive,exp02,posttask_survey,memory,4
116,Active,exp02,posttask_survey,control,0
116,Passive,exp02,posttask_survey,control,0
126,Active,exp02,posttask_survey,memory,6
126,Passive,exp02,posttask_survey,memory,6
126,Active,exp02,posttask_survey,control,6
126,Passive,exp02,posttask_survey,control,6
128,Active,exp02,posttask_survey,memory,3
128,Passive,exp02,posttask_survey,memory,2
128,Active,exp02,posttask_survey,control,1
128,Passive,exp02,posttask_survey,control,4
131,Active,exp02,posttask_survey,memory,3
131,Passive,exp02,posttask_survey,memory,3
131,Active,exp02,posttask_survey,control,0
131,Passive,exp02,posttask_survey,control,0
